what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1327948045312
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1327948045319
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1327948045331
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1327948045336
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1327948045338
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1327948045351
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1327948045357
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1327948045369
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1327948045369
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1327948045380
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327948045388
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327948045392
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327948045392
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327948045402
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327948045409
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327948045422
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327948045428
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1327948045488
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327948045509
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327948045523
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1327948045533
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1327948045539
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1327948045548
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1327948045559
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1327948045570
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1327948045571
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1327948045571
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327948045575
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327948045576
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1327948045578
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327948045589
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327948045597
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327948045604
started,bundle,org.eclipse.jgit,1.2.0.201112221803-r,"org.eclipse.jgit",1327948045604
started,bundle,org.eclipse.mylyn.github.ui,1.2.0.201112221803-r,"org.eclipse.mylyn.github.ui",1327948045613
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1327948045622
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1327948045633
os,sysinfo,,,"macosx",1327948045637
arch,sysinfo,,,"x86_64",1327948045637
ws,sysinfo,,,"cocoa",1327948045637
locale,sysinfo,,,"en_US",1327948045637
processors,sysinfo,,,"4",1327948045637
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327948045637
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1327948045637
java.specification.name,sysinfo,,,"Java Platform API Specification",1327948045637
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327948045637
java.specification.version,sysinfo,,,"1.6",1327948045637
java.vendor,sysinfo,,,"Apple Inc.",1327948045637
java.version,sysinfo,,,"1.6.0_29",1327948045637
java.vm.info,sysinfo,,,"mixed mode",1327948045637
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327948045637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327948045637
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327948045637
java.vm.specification.version,sysinfo,,,"1.0",1327948045637
java.vm.vendor,sysinfo,,,"Apple Inc.",1327948045637
java.vm.version,sysinfo,,,"20.4-b02-402",1327948045637
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1327948045643
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1327948045879
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1327948045889
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1327948045927
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1327948045973
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1327948046114
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327948046155
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327948046175
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1327948046199
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327948047241
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1327948047242
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327948047286
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1327948047287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948267551
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327948270205
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1327948270280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948275669
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1327948280142
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1327948280145
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1327948287326
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1327948287361
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1327948287430
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1327948287527
started,bundle,org.sonatype.tycho.m2e,0.6.0.201112050222,"org.sonatype.tycho.m2e",1327948287527
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1327948287594
started,bundle,org.eclipse.equinox.p2.discovery.compatibility,1.0.1.v20110502-1955,"org.eclipse.equinox.p2.discovery.compatibility",1327948287595
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1327948287630
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1327948287669
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1327948287680
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1327948287756
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1327948287758
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1327948290168
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1327948290247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948292647
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1327948292657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1327948292691
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1327948293094
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1327948296061
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1327948296244
started,bundle,org.eclipse.egit.core,1.2.0.201112221803-r,"org.eclipse.egit.core",1327948296307
started,bundle,org.eclipse.egit.ui,1.2.0.201112221803-r,"org.eclipse.egit.ui",1327948296494
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1327948296599
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1327948296936
bundle,m2e.packaging,org.eclipse.m2e.core,1.0.100,"bundle",1327948297773
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1327948297773
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1327948297773
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1327948297773
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1327948297774
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1327948297774
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.11",1327948297774
bundle:default-bundle:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327948297774
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1327948297774
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327948297774
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.7",1327948297774
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327948297774
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1327948297774
error,log,,,"Manifest net.juniper.bndtools:api:bundle:0.0.1-SNAPSHOT : The JAR is empty: dot",1327948300393
error,log,,,"Error(s) found in manifest configuration",1327948300393
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1327948300692
started,bundle,org.eclipse.pde,3.6.100.v201109091335,"org.eclipse.pde",1327948300886
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1327948300994
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1327948301006
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1327948301598
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1327948301649
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1327948301908
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1327948302033
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1327948307609
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1327948307674
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327948308025
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1327948308444
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1327948308581
started,bundle,org.osgi.impl.bundle.bindex,2.2.1,"org.osgi.impl.bundle.bindex",1327948309692
started,bundle,bndtools.core,1.0.0.REL-111120-1951,"bndtools.core",1327948319967
error,log,,,"Error initialising workspace OBR provider",1327948320051
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1327948320092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948320660
error,log,,,"Error initialising workspace OBR index.",1327948321776
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1327948321781
error,log,,,"Errors occurred during the build.",1327948321784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948352436
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1327948352728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948363784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948435209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948441143
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327948469326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948470183
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327948471593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327948471810
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327948471998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948475128
started,bundle,org.testng.eclipse,6.3.2.20111203_1323,"org.testng.eclipse",1327948478246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948478542
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327948478584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948485458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948487074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327948487117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948488106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948701765
opened,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327948705966
activated,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327948706050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948710701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948716901
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327948727419
started,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1327948728769
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1327948728788
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1327948728821
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1327948729017
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1327948729023
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1327948729372
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1327948729584
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1327948729828
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1327948729954
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1327948729968
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1327948730033
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1327948730056
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1327948730202
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1327948731653
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1327948732222
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1327948732599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327948754756
activated,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327948756970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327948761895
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1327948763668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327948769031
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1327948769119
activated,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327948770225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327948774818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327948777798
error,log,,,"Error rebuilding workspace OBR index",1327948777974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948789032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948793241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327948804815
error,log,,,"Error rebuilding workspace OBR index",1327948804965
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1327948809826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327948811116
error,log,,,"Error rebuilding workspace OBR index",1327948811275
activated,editor,bndtools.core,1.0.0.REL-111120-1951,"bndtools.bndProjectEditor",1327948813255
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1327948813255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327948815531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949014689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949025832
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327949210903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949210966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949213148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949268599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949270283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949271981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949273127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949281683
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1327949283804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949287243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327949308928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1327949308978
bundle,m2e.packaging,org.eclipse.m2e.core,1.0.100,"bundle",1327949309055
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1327949309055
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1327949309055
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1327949309055
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1327949309055
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1327949309055
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.11",1327949309055
bundle:default-bundle:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.felix:maven-bundle-plugin:2.3.6",1327949309055
